F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,filename
24.263884,0.10417108,21.653511,23.90738,27.101028,5.4475174,104.436584,113.43721,31.389978,8.258454,0.110050865,1.41079,0.002538118,0.011108265,0.2327144,0.23017628,3.259262,1.5737916,3.9384446,2.2485027,0.036234986,1.5293608,10.512092,1.7119087,6.1012073,1.387863,8.01175,1.5595549,5.5130167,1.9625193,0.037904795,0.9456391,1.4894191,0.72059,2.2673113,1.2860848,2.7624772,1.4539231,19.43091,0.30885774,531.9374,0.54925865,1055.4778,0.2715102,-139.4837,-0.6357872,1477.9248,0.22942072,757.23315,0.307361,-141.36519,-0.603904,2510.8264,0.13965635,654.0625,0.27357265,-143.5905,-0.5718592,-11.643292,-0.5451915,19.907448,0.37282008,0.07354607,0.3928331,-0.010039252,-1.2036864,0.103487305,0.5001031,29.751476,0.45631248,4.0904922,2.5047286,17.560534,0.8642047,5.1781383,3.1178343,-2.23288,10.586953,0.05806425,0.011219681,0.0057126535,2.1276596,0.9259259,0.33666667,0.22691163,0.53999996,0.48026034,-47.939644,03-01-01-01-01-01-01.wav
36.796463,0.13502857,34.247032,35.355087,41.928215,7.681183,-44.759804,45.280018,15.73199,0.0,0.16877896,1.4418691,0.0051424224,0.015500918,0.29309243,0.28795,5.608688,5.301493,5.4354258,3.2876098,0.06821655,1.7227746,11.304121,1.3803037,-0.19691251,-64.65971,3.132532,3.5241334,-6.2874026,-2.30768,0.026857035,1.1988658,1.4774328,0.8089034,6.412679,0.73825765,8.578806,1.1831894,17.570148,0.52954876,629.3508,0.36203822,1313.7783,0.24716914,-153.73259,-0.5210067,1668.452,0.14158192,913.64795,0.43434688,-145.47214,-0.5660914,2737.5503,0.09396847,751.37463,0.40593755,-146.97252,-0.5432839,-8.675667,-1.1459985,18.766659,0.6302102,0.12086764,0.25096518,-0.01063525,-1.2762008,0.18779095,0.8094956,23.263142,0.64819247,-8.737994,-1.9608016,7.148136,2.0227296,-17.583555,-0.86985797,-4.4060464,12.353103,0.09231277,0.007535987,0.02465948,2.2099447,1.4005603,0.206,0.13979985,0.4083333,0.48498854,-43.78282,03-01-01-01-01-01-02.wav
29.886555,0.13601588,25.579985,31.205753,33.019123,7.4391384,-13.760754,35.044956,22.903515,16.071142,0.17597954,1.3499535,0.0034150032,0.021829937,0.32141188,0.3179969,4.497064,2.169858,5.210534,3.0223117,0.06719803,1.5410864,13.544724,1.0834776,2.9723861,3.4087987,5.8533154,2.2671547,2.694929,4.090509,0.033123866,1.4436404,1.5360382,0.7550082,4.178033,1.0514113,4.689644,1.911997,16.513985,0.43553394,570.50916,0.4716624,1125.0669,0.24602945,-136.06662,-0.6643797,1602.6578,0.18196805,877.6092,0.6329235,-136.87279,-0.6320269,2561.2092,0.13574986,778.3243,0.3812058,-137.61058,-0.62103885,-11.332556,-0.52614105,18.319656,0.3395241,0.10283926,0.3729986,-0.015901515,-0.6064917,0.17766774,0.6204874,27.344183,0.38445994,0.14398912,82.11734,12.523054,1.3924893,-1.1730967,-12.455648,-3.7075422,12.041005,0.08034041,0.009087833,0.0136995185,2.0467837,1.1869437,0.28,0.20796634,0.432,0.476294,-42.8954,03-01-01-01-01-01-03.wav
37.43808,0.12336463,32.69398,37.54129,43.8774,11.183418,55.664074,45.341427,26.641459,4.0951858,0.13136707,1.4057204,0.001284528,0.012633413,0.27018213,0.2688976,4.38942,2.5035315,3.8629756,2.0835414,0.039548334,1.5223415,9.392081,1.7290281,0.50942343,21.418522,2.823278,3.1278121,-7.288919,-2.0102913,0.015291442,0.90082055,1.2336737,0.73317885,7.9003563,0.5433913,8.090195,1.0794748,17.738134,0.629555,649.87964,0.47948,1165.1406,0.2708936,-145.41925,-0.5779358,1611.1333,0.22115909,779.0915,0.36218482,-138.4068,-0.61875635,2789.1707,0.117668286,606.0783,0.4691532,-140.7757,-0.5841938,-9.160336,-0.8304349,18.771332,0.5089858,0.13291748,0.2510689,-0.008282676,-1.3712358,0.10628161,0.5685738,22.921526,0.7074342,-6.7417536,-2.1595101,3.5252845,3.7826161,-21.249058,-0.808316,-2.143286,9.480021,0.110920504,0.013532649,0.009614753,2.7355623,1.2345679,0.265,0.13086252,0.52,0.470691,-47.319324,03-01-01-01-01-01-04.wav
25.341387,0.1245722,23.205893,26.70432,27.90271,4.6968174,95.31604,64.191635,30.22141,1.9346924,0.08108032,1.3422184,0.0072753527,0.0164575,0.15002176,0.1427464,2.7842598,1.5767204,2.0953226,0.9593467,0.024592679,1.4926708,14.073997,1.3395168,6.0890183,1.5863413,9.33889,1.4247537,7.545771,1.5511405,0.01951802,1.2056396,1.4543244,0.8202243,3.515414,1.365837,4.3686213,2.9474602,22.412355,0.31114295,485.13855,0.37209854,1227.3987,0.17911534,-150.24239,-0.54417074,1467.0175,0.19003144,889.9005,0.3705647,-152.65392,-0.5054456,2506.4844,0.11028968,896.872,0.3593044,-154.41573,-0.4806378,-13.812299,-0.5826789,22.921871,0.36222732,0.058024395,0.6200591,-0.01636645,-0.77926654,0.065849036,0.6671357,34.039474,0.3969097,1.9628291,6.2778215,17.043934,1.1222806,-1.819742,-7.9210057,-10.283462,22.00795,0.00085041777,0.008931426,0.010425091,2.5069637,1.9774011,0.12142857,0.04580348,0.3175,0.40211162,-51.297234,03-01-01-01-01-01-05.wav
36.35652,0.09750551,33.626293,36.801216,40.10071,6.4744186,46.124718,40.24117,66.51261,34.91497,0.10421424,1.3528631,0.0077707577,0.015366541,0.19972974,0.19195898,2.033374,1.2446225,2.4441326,1.7344651,0.02642711,1.4222014,8.390023,2.045034,-4.24013,-3.1089153,5.7345967,2.0883725,-3.0732625,-3.955532,0.028364258,1.6260704,1.1324065,0.7185566,6.838358,0.9234991,5.126757,2.1112459,14.542964,0.6068817,524.16895,0.3716168,1206.469,0.22474858,-156.38475,-0.510645,1563.736,0.18049891,869.6459,0.4501531,-143.38779,-0.5851335,2567.9097,0.11208719,876.5125,0.43300807,-145.10327,-0.55939025,-9.4379015,-0.85710496,19.20862,0.4667655,0.11988746,0.19808762,-0.01096812,-1.0802866,0.06896775,0.50809014,24.982887,0.5550926,-9.9157505,-1.8678519,4.159711,4.1989484,-13.617978,-0.9911762,0.9286321,6.5281153,0.07108178,0.010575479,0.008637221,2.4096386,1.8348624,0.15666667,0.085958645,0.3142857,0.4255033,-51.16704,03-01-01-01-01-01-06.wav
25.95671,0.1447336,23.035807,24.38891,30.5121,7.4762936,139.92154,113.53204,18.631403,8.472395,0.13494052,1.1410121,0.015759949,0.058592472,0.24560365,0.2298437,2.0909736,1.1588364,2.723242,1.6334466,0.035793766,1.2924254,14.906303,1.3195946,6.177706,1.5187775,11.430571,1.1414897,3.278998,4.6575727,0.016645648,1.1838132,1.2312294,0.8098077,4.535429,0.758757,3.989503,1.4559983,19.573639,0.38401887,456.4818,0.43872964,1146.1864,0.25739303,-125.953735,-0.7381338,1456.7112,0.20553613,885.33734,0.46980685,-129.6813,-0.67281044,2423.9016,0.11336689,714.13794,0.34677348,-130.9008,-0.6538294,-14.169522,-0.5135728,21.82711,0.37797815,0.061130747,0.5578791,-0.022110732,-0.6120799,0.077364296,0.6038948,30.639593,0.4695862,6.0534935,2.1628368,17.700367,0.96229523,-2.68654,-7.2693577,-3.3086727,11.405685,0.04346054,0.0066996343,0.010154205,2.0565553,1.5625,0.23833333,0.120611854,0.3783333,0.43414348,-47.3373,03-01-01-01-01-01-07.wav
34.500786,0.06797759,33.134487,33.71285,36.830658,3.6961708,67.608,23.57665,20.295135,11.46803,0.12160221,1.2995452,0.009126932,0.015634978,0.23566712,0.2265402,3.6332538,1.5127656,3.6217608,1.866577,0.036179416,1.3833476,15.363035,0.8741394,10.022067,1.514438,12.392591,0.9767519,0.8524551,20.259005,0.020706,1.189313,1.2044595,0.8900225,7.513201,0.58692247,10.132023,0.9340763,22.772345,0.42639786,510.70578,0.44173458,1077.3452,0.18634093,-141.9083,-0.6155268,1598.7433,0.19347061,776.2266,0.39644137,-136.3742,-0.62548614,2624.9133,0.11256008,903.4411,0.66011584,-138.68785,-0.5907166,-13.484223,-0.68259114,23.97839,0.35519043,0.09185789,0.29978585,-0.013549419,-0.9061751,0.09040574,0.54217255,27.032413,0.4616598,2.5905175,6.933201,15.804899,1.1164603,-18.323187,-0.7020622,-16.111109,27.1119,-0.02040089,0.005997872,0.0076821586,2.5787966,1.4619883,0.23200001,0.10647065,0.42799997,0.48234427,-47.68647,03-01-01-01-01-01-08.wav
21.358871,0.08818198,19.436193,21.115368,23.271057,3.8348637,153.53795,156.04517,27.088364,18.889057,0.06409745,1.1506876,0.011720043,0.017236205,0.11812759,0.10640755,1.6018994,0.8691549,2.0220292,1.324193,0.024927448,0.93289655,19.601671,0.65433073,12.648325,0.7417245,17.176983,0.47647065,12.467346,0.89575833,0.023506299,0.7912919,1.4162617,0.68722326,2.9666038,0.77266383,3.0071988,1.4314827,24.022264,0.2609927,550.78735,0.4107103,1270.4841,0.11749277,-148.76201,-0.55020237,1657.127,0.1338044,956.2396,0.38483748,-152.93599,-0.4927824,2596.0654,0.110813394,961.2599,0.5322929,-153.80879,-0.4806666,-17.26457,-0.349368,22.280102,0.30389968,0.021610329,1.3708359,-0.01705323,-0.7538425,0.043260615,0.47636178,32.61313,0.34402215,9.582642,1.2665806,19.525,0.58281964,5.792165,2.524773,-23.241758,32.95785,-0.05491219,0.0022947812,0.018778682,2.7692308,1.8867925,0.13499999,0.06652067,0.37166667,0.44092387,-54.52589,03-01-01-01-01-01-09.wav
36.301098,0.067518614,34.223877,36.792294,38.549957,4.3260803,24.294079,12.628771,16.307018,9.362223,0.28914657,1.2488741,0.012862714,0.027932385,0.5818079,0.56894517,7.3969917,3.8126779,7.8500237,3.6333706,0.1238269,1.3745356,17.07131,0.8787737,6.661136,1.473282,4.9942307,2.6985147,1.8001931,6.8541946,0.017890956,1.1849846,1.2017655,0.80154985,9.087611,0.44818604,7.9564295,1.1572119,21.669796,0.5094269,536.3974,0.4383179,1146.2535,0.22164966,-136.3739,-0.6632129,1545.2734,0.21637946,884.6933,0.26630744,-125.21547,-0.7102699,2545.1765,0.14010091,898.3066,0.31709525,-128.22008,-0.66467184,-13.7517,-0.67306155,24.207079,0.43336037,0.11125562,0.27655506,-0.015426128,-0.71647894,0.28665444,0.53606164,28.973024,0.48525116,2.3936412,5.0270386,-2.5340652,-6.64504,-3.7542114,-3.8350093,-9.679735,18.34719,0.016989563,0.0028566297,0.010204982,2.5568182,0.57636887,0.715,0.375,0.66333336,0.44969124,-36.061646,03-01-01-01-01-01-10.wav
